sentence1,sentence2,label
'Less loud.,Please be quiet.,2
"Turned out, I wasn't completely wrong.",I was 100 percent wrong. ,1
"Mrs. Vandemeyer, she read, ""20 South Audley Mansions.","""20 South Audley Mansions"" is a book that Mrs. Vandemeyer read.",2
"Warn't no Apaches, that's for certain.","It wasn't the Apaches, certainly.",2
It was dead quiet.,There wasn't much noise in the air.,0
White nodded.,White shook his head no.,1
Then he reminded me of something I had said to him at 186 Manchester respecting that bogus telegram which lured Miss Cowley away.,Miss Cowley hadn't been lured away by a false telegram.,1
This is a club for Russian golf.,The club is popular among Russians. ,0
The Explorer struggled to keep his self-control.,The Explorer had no problems staying calm.,1
Really?  ,Is that the case?,0
"After all, you know, you can't bluff him forever.",You can lie to him forever.,1
Tuppence heard other footsteps behind.,Tuppence heard some horns blowing behind.,1
They had been heading there all the time.,They had been following the directions carefully.,0
"I want a few words with you, Mr. Julius Hersheimmer."" 204 Chapter 25 Jane's Story HER arm through Jane's, dragging her along, Tuppence reached the station.",Tuppence arrived at the station completely alone.,1
"Slim considered, ""I guess not.","""I guess not,"" Slim said.",2
Red and yellow flames.,There were red and yellow flames.,2
"She quieted, trembling.","She clammed up, and got visibly nervous.",2
"Together, we can make the world the better place it was supposed to be.",There is no hope for the world.,1
Might be an all night job if you caught on.,The job is a position as a night security guard.,0
"There, there, we can't always have brains as well as beauty.",You may be very smart and beautiful but I am only beautiful and dumb. ,0
And the actual plan?,What about the plan?,2
"No, he was simply a way of escape from the insufferable monotony of my life."" 130 I said nothing, and after a moment, she went on: ""Don't misunderstand me. ",The woman pointed out that her life was monotonous.,2
Mr. Carter's warnings passed unheeded.,"Mr. Carter had issued a warning, but it was not listened to.",2
"In a minute, when I've done with you, you'll go to bed as I told you to.",You can go to bed now. I will finish my task tomorrow. ,1
Severn scowled at him.,Severn was so mad he hit him.,0
At this juncture in his thoughts a taxi with flag erect turned the corner of the street ahead.,The taxi had its flag down.,1
"No, he is a diablo, and he hides in the rocks where he cannot easily be seen.",This diablo only comes out to slaughter the cattle.,0
"In fact I am almost certain that it was made no earlier than yesterday afternoon.""",I almost knew for a fact that it was made at 2pm exactly yesterday.,0
That was probably for the best.,I thought it was a bad idea.,1
He must act quickly. ,He can take his time.,1
Sewn up in oilskin.,The oilskin was sealed with thread.,0
Since I was here an hour ago. ,Since I arrived an hour ago.,2
Ca'daan looked to Jon.,Ca'daan ignored Jon.,1
"I immediately turned tail and ran, heading fast as I could in the opposite direction.","I ran as fast as I could, far away.",2
"We stumbled in together, Lawrence still holding his candle. ",Lawrence was holding a candle because it was so dark.,0
"He knows more about poisons than almost anybody, I explained. ",I said that he did not know much about poisons.,1
"During his chair recovery period, his duties were transferred to the programmers' chief, the one who used to like to laugh at Cod.",The chief used to like to laugh at Cod.,2
They would soon lose their ground.,They will lose their ground shortly.,2
I did not wonder at John objecting to his beard. ,John had no objections to his beard.,1
"Still, you waited to be alone before gratifying that 'interest' of yours?""",You locked the doors and closed the windows before gratifying your interest?,0
Once a spy always a spy.,One doesn't always have to be a spy after being a spy.,1
In moments the small man's onslaught left the shield hanging in pieces from the villager's bloody left arm.,The villager's left arm was bloody. ,2
The Coroner did not trouble to reply. ,He said nothing.,2
Its wings were too small for the tiny apartment.,The wings were not able to keep it in the air.,0
" ""Sather Fareth spent his life designing this,"" Ser Perth said proudly.","Ser Perth was proud to say ""Sather Fareth spent his life designing this.""",2
"A few minutes later, I was back into my stretching.",I wasn't able to get back to my stretching even after they left. ,1
He saw the hurt in the man's eyes but he had to talk to the Swords alone.,He took the man with him to attack the Swords.,1
His nose was crooked and his skin looked as tough as leather.,He had a straight nose and skin that was as smooth as velvet. ,1
I've known a lot of big men that will piss themselves if they feel their own blood rolling down their neck but she didn't.,She didn't even flinch at the thought of blood rolling along her body. She proves tougher than any man I've ever dealt with before.,2
But this here Bayliss he's been like a mule with a burr under his tail ever since he hit th' territory.,He has been like a chicken smelling flowers ever since he hit territory. ,1
But that had been a round dance at Court House Day compared to this.,There was nothing harder than this.,0
"Then I'll go to bed directly after supper. She went into the boudoir again, and Cynthia stared after her. ",She decided to go to bed right after dinner. ,2
"His long black hair hung down, obscuring his face.",His hair covered part of his face but you could still see his evil eyes. ,0
That in no possible way could Mrs. Inglethorp's death benefit Miss Howard. ,Miss Howard didn't benefit from the death but she was glad Mrs. Inglethorp was gone.,0
Will your business take long to state?,Will it take you a long time to explain your business?,2
"Two universes join, and the result is a nucleus world surrounded by a shell, like an egg.",the shell is solid and not easy to break,0
"I said, 'I suppose it's about lunch time.' I said, 'We got to be getting back to the house.' And he said, 'Yes.' And I just went on and then when I was about at the creek I looked around and--""  ",I said we should go to the barn to sleep for the night.,1
SHE WAS ONE OF THEM! ,She was just another number,0
"You're such young things, both of you.",Wow you guys are really old.,1
They went straight for the crone's hut.,It was the crone's hut that they went for. ,2
"No, sir, I should leave it on the hall table. ",The thing is the will to the deceased Mr. Inglethorp.,0
"My dear Mr. Whittington, she said, ""let us by all means lay our cards upon the table.",She did not propose a resolution to Mr. Whittington.,1
She came in to-day.,She attended today and paid attention.,0
Good luck.',Break a leg. ,2
Remember my life is of the utmost value to my country.,My country holds my life in great value.,2
You could be dueling beautifully until an arrow hits you in the back.,An arrow will hit you in the back and kill you. ,0
"In fact, on June 29th, he had been staying away, in Wales. ",He was staying in Wales on June 29th.,2
Tommy continued to stare at him.,Tommy kept staring at him.,2
She lifted her eyebrows at the sight of the girl.,She didn't see the girl. ,1
"Oh, you, I replied hastily. ",I replied to John.,0
"And now, to-day, he puts forward a suggestion that he himself must have known was ridiculous. ",It is ridiculous to think he may have know.,2
The sky shell and world supports were blown into shape around the world model inside the outer tracks in one continuous operation.,It took several operations to blow into shape the sky shell and world supports.,1
"A man had run up and was standing beside the egg, beating at it.",The man was in a hurry to cook dinner.,0
Of course not. ,Of course.,1
We're getting a bit unpopular here blocking the gangway as it were.,We're unpopular from blocking the gangway.,2
"And this time the work was much more labor-intensive and even more exhausting than before, but the condition and health of the tired bacillus not as good as in the times of youth, about two hours ago.",The work was much harder this time and much more tiring.,2
"He is, on the contrary, a patriot. ","That's correct, he is not a patriot.",1
Then there was nothing to be done.,They had so much to do!,1
"I suggest that you should represent yourself to be what you are, a former V.A.D., who has chosen domestic service as a profession.",You should hide your past as a former V.A.D. and try to change the subject if it comes up.,1
"The Rollestons came over with the Conqueror, one of our oldest families."" Mary had excused herself on the plea of an engagement with Dr. ",The Rollestons were one of the oldest families present.,2
"I've got to say something.""  ",I must not say anything.,1
Shiny shoes clattered against toe-tipped heels.,The shoes were very dull.,1
"What were the pleasures, Sather Karf?",What pleasures were there Sather Karf?,2
"His hand lifted, his fingers dancing.",His fingers danced as he lifted his hand.,2
Our helicopter tore through sky.,The helicopter flew through the night sky. ,0
"The Coroner, however, passed briskly to the next point, and Poirot drew a deep breath of relief. ",Poirot was relived that the coroner had moved to the next point.,2
"Big house it was, with a lot of piny grounds around it.","Dinky house it was, with almost no land available around it.",1
"I can't, gasped Tuppence.","I have tried again, I just can't, gasped Tuppence.",0
"Outside, cops scurried.",The cops were hurrying around looking for the man. ,0
"Ah yes, I remember.",I remember nothing about that.,1
"That is the case, said the doctor quietly.",The doctor quietly agreed with the other person.,2
It referred to the mysterious man found dead in New York.,The strange male deceased in New York is what it specified. ,2
"Then, quite suddenly, he looked up.",He looked up suddenly to catch a glimpse of me staring at him.,0
