sentence1,sentence2,label
you know and held over for trial,Released and no trial.,1
no i've uh you you can rent people's kiln they they uh you take your pieces to their house or their ceramic shop and uh pay them there's one woman that charge ten dollars a month for fire all that i wanted,There are people that let you rent their kilns to finish pieces at their shop.,2
yeah i just wish it was a little more convenient convenient to do you know,I want it to be easier to do.,2
okay all right hey bye-bye,Hold on!,1
yeah you know uh is he going to yell at me for buying this with this you know and he's not a yeller though but,He doesn't like when I buy this.,0
if you don't drink you know you used to drink okay you go out and you want to party and that's that's something you do when you're young and dumb i guess,Mature people drink and party a lot too.,1
where there are more than one family in a house,When there's more than one family in a house. ,2
right well uh most of our medical things we don't uh have to worry about because of insurance and they're they're relatively small uh we've been lucky in the past we didn't have that problem but right now we don't for the other things the things that crop up that we aren't really expecting we have different funds set aside for different things like we have a car fund and we put a certain amount of money into that every single month whether we need to or not,"Because of the cost of insurance, we set money aside for the car every month.",2
but that's i don't know i think it just builds on the foundation that they've already built you get people out of high schools and college junior colleges that don't have the background for an MIT kind of curriculum so,Students coming from high schools and junior colleges don't have a background for Technological Study.,2
he brought it home i believe it came in his uh his mail here's a camera and a dustbuster and some tools someone a lot of tools a man might like you know,"He got things in the mail, such as tools and other household items",0
to run all the way downstairs that  that i don't use it,To run all the way across  town and get something that I use often. ,1
yeah yeah  you see a lot of activity outside people riding bikes or playing ball or jogging or doing this and that and uh they're trying to to unwind,People are really stressed out and they need an activity to unwind.,0
um even when i was a teenager i didn't really like the music of that period so much because i found i liked um a little bit more melodious music than what was often the popular rock and roll kind of thing,"When I was a teenager I didn't like popular rock and roll music, but more melodious music. ",2
that that is true i hadn't thought about that and and that is fascinating to to think about someone who doesn't know how to say private,Thinking about someone who doesn't know how to say private is fascinating.,2
yeah that's what we'll do we'll take some we'll take take out like sometimes on the weekend um like snacks,Sometimes we get takeout for our weekend snacks.,2
yeah we sort of stayed to the topic anyway,They continued to only talk about sports statistics for the conversation. ,0
and that certainly is one reason why crime here has increased,That's one of the reasons we have seen a reduction in crime here. ,1
oh when i worked for the temporary agency as a permanent person and so we had when we sent temporaries to TI we had to have them drug tested and we did have a couple of cases where we really,I used to work for the temporary agency as a long term employee.,2
i think they have um a one that we need to recognize that we're going to have to supplement ourselves and that's certainly one of the reasons that i'm sure that they've begun the,I think there is one that we will need to supplement ourselves.,2
on the refund yeah Alabama did that too and i always thought well this is pretty nifty you taxed me when i made the money the feds,Alabama also did that with the refund.,2
huh well maybe some day you'll own your parents' homes,You will never own your parents' home there is no chance. ,1
i mean fifteen bucks to go see a movie with two with a couple's a little ridiculous,I think that fifteen dollars for two people to see a movie is pretty reasonable.,1
we're really on to that that the masking is you have to do that very very carefully,You don't have to be very careful when you are doing the masking. ,1
yeah you you'd be surprised the things i mean you could like tonight we're having um nature burgers which are like a grain burger and you can it's really pretty good i i the people i serve it to like my sister and family members well my family members are vegetarians now basically i mean they're not they're not when they go out to eat they sometimes eat other meat you know meats and things but at home we eat vegetarian meals and uh you can make you know make uh pasta meals and different things that people are use to eating that wouldn't offend you know that they wouldn't be offended that there wasn't a meat there,tonight we're going to have vegetarian burgers but sometimes when we eat out we have meat,2
yeah oh that's okay,i'm confused but that's probably fine?,0
oh yeah oh boy you've really missed a,"Oh boy, oh yeah, you've really missed.",2
right some of the stations around here will take it,No stations in the area will take it.,1
